Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"DAO.UsuarioDAO.read",,3,,2
Public Method,"DAO.UsuarioDAO.read",,3,,2
Public Method,"DAO.UsuarioDAO.read",,3,,2
Public Method,"DAO.UsuarioDAO.up",,2,,1
Public Method,"DAO.UsuarioDAO.verificaLogin",,3,,2
Public Class,"DAO.VendaDAO",2,16,1,3
Public Method,"DAO.VendaDAO.del",,1,,0
Public Method,"DAO.VendaDAO.getIdVenda",,2,,1
Public Method,"DAO.VendaDAO.listAll",,3,,2
Public Method,"DAO.VendaDAO.read",,4,,2
Public Method,"DAO.VendaDAO.up",,1,,0
Public Method,"DAO.VendaDAO.vender",,5,,3
File,"Estoque.java",1,25,1,2
File,"Fornecedor.java",1,27,1,0
File,"FornecedorDAO.java",2,21,1,2
File,"Fornecedores.java",1,19,1,2
File,"GerenciarCategoria.java",1,19,1,2
File,"GerenciarFornecedor.java",1,19,1,1
File,"GerenciarProduto.java",1,24,1,2
File,"GerenciarUsuario.java",2,37,1,2
File,"Historico.java",2,35,1,2
File,"Login.java",1,8,1,1
File,"Main.java",1,2,1,0
File,"MenuPrincipal.java",1,18,1,1
File,"NovaCompra.java",2,43,7,3
File,"Produto.java",1,21,1,0
File,"ProdutoDAO.java",2,36,1,2
File,"Usuario.java",1,37,1,0
File,"UsuarioDAO.java",2,33,1,2
File,"Usuarios.java",1,21,1,2
File,"Venda.java",1,13,1,0
File,"VendaDAO.java",2,16,1,3
File,"Vendas.java",2,32,5,2
File,"VisualizarCompra.java",2,16,4,2
File,"VisualizarVenda.java",1,8,1,1
Package,"connection",2,11,1,2
Public Class,"connection.ConnectionFactory",2,11,1,2
Public Static Method,"connection.ConnectionFactory.closeConnection",,3,,2
Public Static Method,"connection.ConnectionFactory.closeConnection",,3,,2
Public Static Method,"connection.ConnectionFactory.closeConnection",,3,,2
Public Static Method,"connection.ConnectionFactory.getConnection",,2,,1
Package,"controls",1,364,7,3
Public Class,"controls.Categorias",1,18,1,1
Public Method,"controls.Categorias.botaoAddCategoria",,1,,0
Public Method,"controls.Categorias.botaoEditCategoria",,1,,0
Public Method,"controls.Categorias.botaoRemoveCategoria",,2,,1
Public Method,"controls.Categorias.botaoViewCategoria",,1,,0
Public Method,"controls.Categorias.botaoVoltar",,1,,0
Public Method,"controls.Categorias.initialize",,2,,1
Public Method,"controls.Categorias.listView",,2,,1
Public Method,"controls.Categorias.pesquisarCategoria",,4,,1
Public Method,"controls.Categorias.show",,2,,0
Lambda Method,"controls.Categorias.show.(lambda_expr_1)",,1,,0
Public Method,"controls.Categorias.verificaSelecao",,2,,1
Public Class,"controls.Compras",1,17,1,2
Public Method,"controls.Compras.botaoAddCompra",,1,,0
Public Method,"controls.Compras.botaoVisualizar",,1,,0
Public Method,"controls.Compras.botaoVoltar",,1,,0
Public Method,"controls.Compras.initialize",,2,,1
Public Method,"controls.Compras.listViewPendentes",,5,,2
Public Method,"controls.Compras.show",,2,,0
Lambda Method,"controls.Compras.show.(lambda_expr_1)",,1,,0
Public Method,"controls.Compras.verificaData",,2,,0
Lambda Method,"controls.Compras.verificaData.(lambda_expr_1)",,1,,0
Class,"controls.Compras.verificaData.(lambda_expr_1).(Anon_1)",3,3,1,1
Public Method,"controls.Compras.verificaData.(lambda_expr_1).(Anon_1).updateItem",,3,,1
Public Method,"controls.Compras.verificaSelecao",,3,,1
Public Class,"controls.Estoque",1,25,1,2
Public Method,"controls.Estoque.botaoAddProduto",,1,,0
Public Method,"controls.Estoque.botaoCategorias",,1,,0
